f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,cancellation_policy,room_type,property_type,neighbourhood_cleansed
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,23.0,1,1.0,100.0,1,1,0.31999999,8,7,1.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Private room,moderate,Couch,Kingston upon Thames,50.0,2,1.0,91.0,15,1,0.67000002,0,1,1.0,671.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Kingston upon Thames,moderate,Private room,Apartment,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,24.0,2,1.0,80.0,2,1,0.25,0,1,1.0,242.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,50.0,2,1.5,,0,1,,0,2,1.0,,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,25.0,1,1.0,,0,1,,0,1,1.0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,56.0,2,2.0,100.0,2,1,2.0,0,1,2.0,29.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,35.0,2,1.0,,0,1,,0,2,1.0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
House,Entire home/apt,strict,Real Bed,Kingston upon Thames,135.0,5,2.0,94.0,10,1,1.04,0,2,4.0,287.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,House,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,65.0,4,1.0,,0,1,,15,2,1.0,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,60.0,4,2.0,,0,1,,0,1,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,39.0,2,1.5,90.0,2,1,0.11,25,2,1.0,561.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
House,Entire home/apt,flexible,Real Bed,Kingston upon Thames,239.0,10,4.0,100.0,1,1,0.16,0,5,7.0,183.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Entire home/apt,House,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,32.0,2,0.5,98.0,18,1,1.64,0,1,1.0,327.0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,20.0,2,1.0,90.0,6,1,1.03,9,2,1.0,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,40.0,1,1.5,,0,1,,0,3,1.0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
