earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
42.3,29,43,2,1,7,0,"Private, For Profit",40
11.25,27,41,2,2,1,2,"Private, For Profit",40
18.166666666666668,30,41,1,2,1,2,"Private, For Profit",60
19.23075,48,40,1,1,1,2,"Private, For Profit",40
20.673,46,43,2,1,1,2,"Private, For Profit",40
22.0,29,39,1,1,7,0,"Private, For Profit",40
9.0,25,39,2,1,7,0,"Private, For Profit",40
23.076923076923077,36,44,2,2,7,3,"Private, For Profit",39
12.75,56,39,1,2,1,0,"Private, For Profit",40
57.69225,49,46,1,1,1,2,Government - Federal,40
45.0,50,43,2,1,1,2,"Private, For Profit",40
11.2,39,39,2,2,5,1,"Private, For Profit",40
28.846,42,40,1,2,5,0,"Private, For Profit",60
2.3,25,35,2,1,1,2,"Private, For Profit",40
32.5,39,41,1,1,1,2,"Private, For Profit",40
25.48075,57,41,1,2,1,0,"Private, For Profit",40
38.4615,53,43,2,2,1,0,"Private, For Profit",40
18.0,32,39,1,1,7,0,"Private, For Profit",40
8.5,22,39,2,2,7,0,Government - Local,12
8.5,20,39,2,2,7,0,Government - Local,12
30.28825,37,44,2,1,5,3,Government - Federal,40
20.673,31,44,2,1,7,0,"Private, For Profit",40
17.0,27,43,1,1,7,0,"Private, For Profit",40
28.846,57,45,1,1,4,0,"Private, For Profit",50
12.5,40,44,2,2,7,0,Government - State,40
57.6922,38,43,1,1,1,1,"Private, For Profit",50
30.275,36,44,2,1,1,1,Government - State,40
48.07683333333333,48,43,1,4,5,0,"Private, For Profit",60
15.0,21,39,1,1,7,0,"Private, For Profit",60
12.11525,24,43,1,1,1,0,"Private, Nonprofit",40
8.5,21,40,2,1,1,0,"Private, For Profit",8
34.29333333333334,44,41,1,1,1,2,Government - Local,45
15.0,44,39,2,1,1,2,"Private, For Profit",50
29.29,61,41,2,1,5,0,"Private, For Profit",40
28.825,61,43,1,1,1,0,"Private, For Profit",40
34.6,58,43,2,1,1,0,"Private, Nonprofit",25
7.13,32,40,2,1,5,1,"Private, For Profit",30
28.846,52,44,2,1,1,0,"Private, For Profit",60
33.333333333333336,52,43,1,1,1,0,"Private, For Profit",60
15.333333333333334,51,43,2,1,1,0,"Private, For Profit",15
14.422999999999998,50,42,1,1,1,0,"Private, For Profit",40
28.845999999999997,59,40,2,1,1,0,Government - Federal,40
48.07683333333333,47,45,1,1,1,2,"Private, For Profit",60
21.15,62,43,1,1,1,0,"Private, For Profit",60
6.923,25,39,2,2,1,2,"Private, For Profit",40
4.6152,29,44,2,2,7,0,"Private, For Profit",25
4.6152500000000005,25,39,1,2,1,2,"Private, For Profit",40
9.25,33,39,1,2,7,0,"Private, For Profit",35
17.616666666666667,59,39,1,1,1,0,"Private, For Profit",60
14.957111111111113,43,43,1,1,1,0,Government - Local,45
14.957111111111113,39,43,2,1,1,0,Government - Local,45
16.183333333333334,27,39,1,1,1,0,"Private, For Profit",45
9.25,25,39,2,1,1,0,"Private, For Profit",20
40.0,48,44,1,1,1,1,"Private, For Profit",50
20.0,36,44,2,1,1,2,"Private, Nonprofit",20
40.0,37,44,1,1,1,2,"Private, For Profit",50
48.075,47,43,1,1,5,2,"Private, For Profit",40
