female,age,education,ln_wage
1,36,MA,3.138833117194664
0,49,PhD,4.0551228490683195
1,37,MA,3.410759848526933
1,31,MA,3.0288285010431806
0,57,Professional,3.3619713351613183
1,40,MA,2.5257286443082556
1,36,MA,3.410322289439156
1,52,MA,3.3619713351613183
0,47,Professional,3.8728004256064557
1,29,MA,1.5293552039605425
0,48,MA,3.6888794541139363
1,36,MA,2.995732273553991
0,37,MA,3.6888794541139363
0,62,Professional,3.18738515777683
1,57,MA,2.882403588246988
1,38,MA,2.954910279033736
1,34,MA,2.772588722239781
0,34,MA,3.079613757534693
1,37,MA,3.3211525906531154
1,25,MA,3.2188758248682006
1,43,MA,3.649657740960155
0,48,MA,3.493312670569961
1,39,MA,3.606641355876964
1,28,MA,3.2188758248682006
1,29,MA,3.543853682063679
1,62,PhD,2.833213344056216
1,47,MA,3.4420193761824107
0,51,MA,4.135166556742356
0,62,MA,3.544294336406378
0,57,PhD,3.179441755622794
1,39,PhD,3.361532125269724
1,33,Professional,3.481777008106071
0,34,MA,3.734813692154023
0,46,MA,3.1790949548563563
1,43,MA,2.5257286443082556
1,41,PhD,4.0551219824004106
0,40,MA,2.4849066497880004
1,54,MA,3.274963109698682
1,44,PhD,3.4388142452334622
0,33,MA,3.9215920754918434
0,62,MA,2.4175047739008386
1,62,MA,3.813287410025191
0,32,MA,3.4673318508191446
0,61,MA,3.472323531647176
1,38,MA,3.8066624897703196
1,46,MA,2.506341930508065
0,36,Professional,3.585118353154675
0,29,MA,3.603138344373309
0,47,MA,3.767436443269483
1,35,MA,3.624340932976365
1,34,Professional,4.0551219824004106
0,34,Professional,4.0551219824004106
1,59,MA,2.791165107812717
1,59,MA,3.202746442938317
0,30,MA,3.721975681603126
1,28,MA,3.005298867423203
0,42,MA,3.2188758248682006
1,43,MA,3.4871380467554407
0,29,MA,3.3467059963729655
1,40,PhD,4.27826553371462
0,41,PhD,4.27826553371462
1,64,MA,2.6567569067146595
1,27,MA,3.576829950305313
1,25,MA,3.292980939874984
0,35,MA,3.8389001888748933
0,40,MA,4.27826553371462
0,61,Professional,3.872798692268385
1,47,PhD,3.8316802527456075
0,53,MA,4.0551228490683195
1,53,MA,2.8511399335700434
0,27,MA,2.9311937524164198
0,45,MA,3.4420193761824107
1,30,MA,4.0551219824004106
0,34,MA,3.55434496114985
0,32,Professional,2.9041650800285006
1,31,MA,3.0044442141560124
1,35,PhD,2.5257286443082556
0,34,MA,3.649657740960155
1,44,MA,3.3277302297802827
0,39,PhD,4.27826553371462
1,44,MA,3.960813169597578
0,39,MA,4.0551219824004106
0,31,MA,3.710280068654017
1,55,MA,3.831977440607671
0,50,MA,3.872798692268385
1,50,MA,3.872798692268385
1,49,MA,3.6492141977215047
0,29,Professional,2.6390573296152584
1,30,Professional,3.179646311676199
0,33,MA,3.872798692268385
1,54,MA,3.836221292011864
0,61,MA,4.27826553371462
1,47,MA,3.179646311676199
0,35,MA,3.649358695951653
1,55,Professional,4.029806041084529
1,38,MA,3.4202399162394714
0,42,MA,3.6325736179028416
1,56,MA,3.5846756765839336
0,59,MA,3.18738515777683
1,48,MA,3.9367156180185177
1,30,MA,3.5160130560907366
0,29,MA,3.3612430661551227
1,60,MA,3.912023005428146
1,51,MA,3.8363075881803677
0,35,MA,4.0943445622221
0,55,PhD,4.0551219824004106
1,34,MA,3.649657740960155
0,46,MA,4.1604824980582364
1,47,MA,4.135166556742356
1,46,PhD,3.3619713351613183
0,50,MA,3.7366691179497846
1,55,Professional,3.8728004256064557
0,52,MA,4.27826553371462
0,41,MA,3.912023005428146
1,50,MA,3.2337644373619514
1,44,PhD,3.246490991901174
