hotel_id,city,country,price,distance,stars,rating,accommodation_type,year,month,weekend
1,Amsterdam,Netherlands,114,3.1,4.0,4.3,Hotel,2017,11,0
3,Amsterdam,Netherlands,117,1.5,4.0,4.1,Hotel,2017,11,0
4,Amsterdam,Netherlands,71,1.9,3.0,3.5,Hotel,2017,11,0
5,Amsterdam,Netherlands,690,1.8,3.5,4.0,Hotel,2017,11,0
6,Amsterdam,Netherlands,127,1.9,4.0,4.1,Hotel,2017,11,0
7,Amsterdam,Netherlands,167,0.8,3.5,4.4,Hotel,2017,11,0
9,Amsterdam,Netherlands,218,1.0,4.0,4.4,Hotel,2017,11,0
10,Amsterdam,Netherlands,143,1.8,4.0,3.7,Apartment,2017,11,0
11,Amsterdam,Netherlands,97,2.2,3.0,3.7,Hotel,2017,11,0
12,Amsterdam,Netherlands,92,1.2,2.0,3.0,Hotel,2017,11,0
14,Amsterdam,Netherlands,130,1.7,4.0,3.7,Hotel,2017,11,0
15,Amsterdam,Netherlands,132,1.7,4.0,4.5,Hotel,2017,11,0
16,Amsterdam,Netherlands,207,1.7,5.0,4.4,Hotel,2017,11,0
17,Amsterdam,Netherlands,172,1.7,4.0,4.1,Hotel,2017,11,0
18,Amsterdam,Netherlands,91,1.8,3.0,3.7,Hotel,2017,11,0
19,Amsterdam,Netherlands,149,1.7,5.0,4.1,Hotel,2017,11,0
20,Amsterdam,Netherlands,102,2.2,3.5,4.5,Hotel,2017,11,0
21,Amsterdam,Netherlands,103,2.4,3.5,3.9,Hotel,2017,11,0
22,Amsterdam,Netherlands,153,2.3,4.0,4.5,Hotel,2017,11,0
23,Amsterdam,Netherlands,191,2.5,4.0,4.8,Apart-hotel,2017,11,0
24,Amsterdam,Netherlands,207,2.9,4.0,4.5,Hotel,2017,11,0
25,Amsterdam,Netherlands,66,1.8,2.0,2.9,Hotel,2017,11,0
26,Amsterdam,Netherlands,156,2.7,4.0,4.0,Hotel,2017,11,0
27,Amsterdam,Netherlands,94,2.6,4.0,4.5,Hotel,2017,11,0
28,Amsterdam,Netherlands,138,2.7,4.0,4.0,Hotel,2017,11,0
30,Amsterdam,Netherlands,164,3.3,3.0,4.0,Hotel,2017,11,0
31,Amsterdam,Netherlands,122,3.2,4.0,4.0,Hotel,2017,11,0
32,Amsterdam,Netherlands,126,1.9,3.0,3.5,Hotel,2017,11,0
33,Amsterdam,Netherlands,63,2.7,3.0,3.0,Hotel,2017,11,0
34,Amsterdam,Netherlands,161,3.4,3.0,4.3,Hotel,2017,11,0
36,Amsterdam,Netherlands,66,4.7,2.0,3.9,Hotel,2017,11,0
37,Amsterdam,Netherlands,160,4.5,3.5,4.5,Hotel,2017,11,0
38,Amsterdam,Netherlands,176,4.8,3.0,4.3,Hotel,2017,11,0
