area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,cond_excellent,cond_good,cond_likenew,cylind6,agesq,agecu,odometersq
chicago,chicago city,2015 Toyota_ Camry_,excellent,other,Missing,gas,3.5721,,,automatic,sedan,1,14850,9.605755144230846,2015,3,1.273153658143102,0,0,0,1,0,0,0,9,27,12.759898409999998
chicago,chicago city,2016 TOYOTA CAMRY,Missing,Missing,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.656947423415522,2016,2,0.2739887453197783,0,0,0,0,0,0,0,4,8,1.7297510399999998
chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.745236349484363,1993,25,2.928523523860541,0,0,0,0,1,0,1,625,15625,349.69
chicago,chicago city,1998 toyota camry le,Missing,Missing,Missing,gas,16.824258333333333,,,automatic,Missing,0,1600,7.377758908227872,1998,20,2.8228217933308546,1,0,0,0,0,0,0,400,8000,283.0556684667361
chicago,chicago city,1998 Toyota Camry,Missing,Missing,Missing,gas,16.824258333333333,,,automatic,Missing,0,1500,7.313220387090301,1998,20,2.8228217933308546,0,0,0,0,0,0,0,400,8000,283.0556684667361
chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.408530566894626,1999,19,3.005682604407159,0,0,0,0,1,0,0,361,6859,408.03999999999996
chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.738488122494646,2000,18,2.3702437414678603,1,0,0,1,0,0,0,324,5832,114.48999999999998
chicago,chicago city,2002 toyota camry solara,Missing,6 cylinders,fwd,gas,16.0,black,,automatic,Missing,0,1650,7.408530566894626,2002,16,2.772588722239781,0,0,0,0,0,0,1,256,4096,256.0
chicago,chicago city,2002 toyota camry,Missing,Missing,Missing,gas,14.326720833333336,,,automatic,Missing,0,3500,8.160518247477505,2002,16,2.6621263833674,0,0,0,0,0,0,0,256,4096,205.25492983626745
chicago,chicago city,2003 Toyota CAMRY XLE,Missing,Missing,Missing,gas,14.081671428571426,white,,automatic,Missing,0,1100,7.003065458786462,2003,15,2.6448740531000756,0,1,0,0,0,0,0,225,3375,198.29347022224482
chicago,chicago city,2003 toyota camry,Missing,4 cylinders,Missing,gas,11.9,,,automatic,Missing,0,3800,8.242756345714477,2003,15,2.4765384001174837,0,0,0,0,0,0,0,225,3375,141.61
chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,Missing,0,2950,7.989560449333865,2004,14,2.8154087194227095,0,1,0,1,0,0,0,196,2744,278.89
chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.34283980427146,2005,13,2.4886579382324547,1,0,0,1,0,0,1,169,2197,145.08443401
chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.626930303030305,silver,full-size,automatic,sedan,0,4500,8.411832675758411,2007,11,2.4533239852615467,0,0,0,0,1,0,0,121,1331,135.18550827152438
chicago,chicago city,2007 Toyota camry,Missing,Missing,Missing,gas,11.626930303030305,,,automatic,Missing,0,4000,8.294049640102028,2007,11,2.4533239852615467,0,0,0,0,0,0,0,121,1331,135.18550827152438
chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,Missing,0,6000,8.699514748210191,2007,11,2.322387720290225,0,0,1,1,0,0,0,121,1331,104.03999999999999
chicago,chicago city,2007 toyota camry xle,Missing,Missing,Missing,gas,11.626930303030305,,,automatic,Missing,0,5999,8.699348067653093,2007,11,2.4533239852615467,0,1,0,0,0,0,0,121,1331,135.18550827152438
chicago,chicago city,2008 toyota camry,Missing,4 cylinders,fwd,gas,6.58,,,automatic,Missing,0,7700,8.948975607841776,2008,10,1.884034745337226,0,0,0,0,0,0,0,100,1000,43.2964
