personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform10,perform11,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls0,phonecalls1
3906,1,FALSE,2,0,33,8,1,0,1,0.08457300812005997,0.3086203932762146,84,96,1883.3333740234375,713.4444580078125,2737.546630859375,10,0,1,0,1,0,0,1,0,0
4122,1,TRUE,1,0,30,18,0,0,0,4.4988258741796017e-4,0.7005594372749329,0,94,1700,2097.22216796875,4096.24560546875,0,0,0,0,1,0,0,1,21.335,21.797
4448,0,FALSE,2,0,35,10,1,0,1,0.4559096395969391,0.4886615574359894,0,92,1750,2153.333251953125,4269.29638671875,11,0,1,0,1,0,0,1,0,0
4942,1,FALSE,4,0,27,20,0,0,1,0.9185097813606262,-0.27536705136299133,0,82,1900,3043,5295.3955078125,0,0,1,1,0,0,0,1,0,0
5018,1,FALSE,4,0,29,15,1,0,1,-0.37744349241256714,-0.6063684225082397,0,82,2138.888916015625,464.3333435058594,1387.5899658203125,0,0,1,1,0,0,0,1,0,0
5614,1,FALSE,5,0,32,0,0,1,1,0.3699803054332733,0.4046419858932495,0,79,1700,1273.5555419921875,3826.0087890625,0,0,1,0,1,0,0,1,0,0
6278,0,TRUE,1,1,32,12,1,0,1,-0.040052831172943115,-0.09744056314229965,43,77,1700,861,2918.788818359375,5,0,1,0,0,1,0,1,11.701,8.729
6362,0,FALSE,4,0,29,12,1,0,1,0.6553189754486084,-0.6200625896453857,24,82,1850,2732.666748046875,4894.7080078125,3,0,1,1,0,0,0,1,0,0
6364,0,FALSE,4,0,26,12,1,0,1,1.4090423583984375,-0.17028234899044037,0,82,1900,3965.888916015625,6220.74560546875,2,0,1,1,0,0,0,1,0,0
7068,0,FALSE,4,0,28,0,0,0,1,0.27069875597953796,-0.9988539218902588,0,72,1950,1983.22216796875,4341.82421875,0,1,1,0,0,1,0,1,0,0
7076,0,FALSE,3,0,30,0,1,0,1,0.0015328284353017807,0.27479737997055054,24,72,2100,465.5555419921875,2664.14990234375,11,0,1,0,0,1,0,1,0,0
7488,1,FALSE,2,0,25,18,0,0,0,0.45098304748535156,1.2551696300506592,0,70,1800,1141.22216796875,3072.208984375,0,0,1,1,0,0,0,1,0,0
7720,0,TRUE,1,0,25,9,0,0,0,-0.6870976686477661,-0.45466840267181396,0,70,1750,821.4444580078125,3048.3876953125,0,0,1,0,0,1,0,1,10.587,9.549
8522,0,FALSE,2,0,30,6,1,0,1,0.23950015008449554,0.06838996708393097,36,66,1733.3333740234375,1993.3333740234375,4192.2421875,5,0,1,1,0,0,0,1,0,0
8834,0,TRUE,1,0,22,0,0,0,0,0.3206787407398224,0.8253183364868164,0,66,1750,1400.6666259765625,3642.716552734375,0,1,0,1,0,0,0,1,24.719,21.238
8854,1,TRUE,1,0,22,4,0,0,0,0.6507793068885803,0.9372251033782959,0,66,1700,2282.5556640625,4259.26123046875,0,1,1,1,0,0,0,1,25.527,24.094
8980,1,FALSE,2,0,25,10,0,0,0,-0.03176545351743698,-0.8631395101547241,0,65,1650,306.1111145019531,1973.42333984375,0,0,1,1,0,0,0,1,0,0
9710,0,FALSE,3,0,33,10,0,0,1,-0.7188639044761658,-0.08590862900018692,60,64,1783.3333740234375,1637.888916015625,3902.9267578125,0,0,1,0,1,0,0,1,0,0
10098,0,TRUE,1,1,28,12,1,0,1,0.07634852081537247,-0.8143044710159302,0,63,2350,1739.4444580078125,4315.20361328125,8,0,1,0,0,1,0,1,21.634,0.582
