country,life_exp,gdp_per_capita,continent
Afghanistan,64.047,1.758465636,Asia
Albania,78.495,11.80328388,Europe
Algeria,76.293,13.87629464,Africa
Angola,61.809,6.044972035,Africa
Antigua and Barbuda,76.519,22.85574802,North America
Argentina,76.738,18.94514402,South America
Armenia,74.782,8.744731368,Asia
Aruba,76.01,35.86182812,North America
Australia,82.49756098,44.88801999,Oceania
Austria,81.64146341,45.49304535,Europe
Azerbaijan,72.123,15.92939963,Asia
"Bahamas, The",75.823,28.7052785,North America
Bahrain,77.038,43.32044036,Asia
Bangladesh,72.808,3.634316954,Asia
Barbados,76.057,16.83900058,North America
Belarus,74.12926829,17.19342414,Europe
Belgium,81.43902439,42.78105782,Europe
Belize,70.588,7.726380697,North America
Benin,61.171,2.06928528,Africa
Bhutan,70.565,9.246676763,Asia
Bolivia,69.473,6.798929349,South America
Bosnia and Herzegovina,77.087,12.27460521,Europe
Botswana,67.618,16.16533839,Africa
Brazil,75.723,14.23601775,South America
Brunei Darussalam,77.374,72.523836,Asia
Bulgaria,74.81219512,18.60622003,Europe
Burkina Faso,60.77,1.696234138,Africa
Burundi,57.857,0.6707770725,Africa
Cabo Verde,73.004,6.387095706,Africa
Cambodia,69.331,3.653641495,Asia
Cameroon,58.575,3.312899677,Africa
Canada,82.4704878,43.85242489,North America
Central African Republic,52.89,0.7538248792,Africa
Chad,53.208,1.753771876,Africa
Chile,79.732,22.296837,South America
China,76.41,15.25399307,Asia
Colombia,74.562,13.18620683,South America
Comoros,63.912,2.500569443,Africa
"Congo, Dem. Rep.",60.031,0.8077529051,Africa
"Congo, Rep.",65.088,5.103142821,Africa
Costa Rica,80.03,15.43030863,North America
Cote d'Ivoire,54.102,3.564595846,Africa
Croatia,77.82682927,22.83494166,Europe
Curacao,78.01707317,25.11091477,North America
Cyprus,80.67,33.04754579,Asia
Czech Republic,79.47560976,32.57078118,Europe
Denmark,81.00487805,47.2696913,Europe
Dominican Republic,74.048,14.95343649,North America
Ecuador,76.551,10.4537099,South America
"Egypt, Arab Rep.",71.661,10.67280022,Africa
El Salvador,73.75,7.246755527,North America
Equatorial Guinea,57.939,22.29894214,Africa
Estonia,77.64146341,29.91635691,Europe
Eswatini,58.268,9.567585628,Africa
Ethiopia,65.874,1.724482541,Africa
Fiji,70.417,9.379297794,Oceania
Finland,81.42926829,41.0180502,Europe
France,82.52439024,38.95583397,Europe
Gabon,66.48,16.1449353,Africa
"Gambia, The",61.424,1.465335551,Africa
Georgia,73.436,9.702168277,Asia
Germany,80.9902439,45.46202833,Europe
Ghana,63.033,4.051461891,Africa
Greece,81.38780488,24.60167323,Europe
Grenada,73.78,13.39690285,North America
Guatemala,73.654,7.423170622,North America
Guinea,60.617,2.213463585,Africa
Guinea-Bissau,57.805,1.576748994,Africa
Guyana,66.766,7.399136096,South America
Haiti,63.589,1.653001342,North America
Honduras,73.774,4.468999058,North America
"Hong Kong SAR, China",84.6804878,56.08769343,Asia
Hungary,76.06341463,26.86057332,Europe
Iceland,82.20487805,47.83951903,Europe
India,68.803,6.51617262,Asia
Indonesia,69.355,11.1610212,Asia
"Iran, Islamic Rep.",76.153,19.09796678,Asia
Iraq,70.038,15.82958889,Asia
Ireland,81.95609756,66.60442851,Europe
Israel,82.60243902,33.22044963,Asia
Italy,83.24390244,35.37316869,Europe
Jamaica,76.097,8.153886686,North America
Japan,84.0997561,38.90736814,Asia
Jordan,74.476,8.298545893,Asia
Kazakhstan,72.95,24.07854516,Asia
Kenya,67.291,2.961461738,Africa
Kiribati,66.506,2.025042945,Oceania
"Korea, Rep.",82.62682927,35.93837422,Asia
Kosovo,71.94634146,9.779858078,Europe
Kuwait,74.811,66.00858461,Asia
Kyrgyz Republic,71.2,3.39361799,Asia
Lao PDR,67.021,6.307628082,Asia
Latvia,74.6804878,25.02979255,Europe
Lebanon,79.758,11.64701809,Asia
Lesotho,54.568,2.845889522,Africa
Liberia,63.006,1.17563541,Africa
Libya,72.11,17.32146121,Africa
Lithuania,74.67073171,29.60387703,Europe
Luxembourg,82.68536585,93.10178496,Europe
"Macao SAR, China",83.991,105.448677,Asia
Madagascar,66.312,1.418309584,Africa
Malawi,63.671,1.154028727,Africa
Malaysia,75.452,27.27185923,Asia
Maldives,77.649,13.33293838,Asia
Mali,58.456,2.019441058,Africa
Malta,82.45365854,36.98891847,Europe
Mauritania,63.384,3.696353104,Africa
Mauritius,74.51463415,20.31949111,Africa
Mexico,77.305,17.94901995,North America
"Micronesia, Fed. Sts.",69.316,3.185280685,Oceania
Moldova,71.718,6.234310347,Europe
Mongolia,69.465,11.62285369,Asia
Montenegro,77.271,16.47739299,Europe
Morocco,76.059,7.508795434,Africa
Mozambique,58.872,1.176846424,Africa
Myanmar,66.744,5.6103247,Asia
Namibia,64.85,10.09323318,Africa
Nepal,70.604,2.605510114,Asia
Netherlands,81.56097561,48.78913571,Europe
New Zealand,81.65853659,36.04639432,Oceania
Nicaragua,75.653,5.169297773,North America
Niger,60.422,0.9206266175,Africa
Nigeria,53.875,5.351441254,Africa
North Macedonia,75.851,13.13953555,Europe
Norway,82.5097561,64.965386,Europe
Oman,77.258,37.32858836,Asia
Pakistan,66.629,4.771205236,Asia
Panama,78.195,22.24354948,North America
Papua New Guinea,65.705,3.880650005,Oceania
Paraguay,73.211,11.79046156,South America
Peru,75.22,12.5181634,South America
Philippines,69.238,7.580847417,Asia
Poland,77.85121951,27.34627981,Europe
Portugal,81.12439024,28.03461996,Europe
Puerto Rico,79.97363415,35.45440627,North America
Qatar,78.331,113.2621816,Asia
Romania,75.3097561,23.44160669,Europe
Russian Federation,72.11902439,24.79064833,Europe
Rwanda,67.496,1.892676646,Africa
Samoa,75.24,6.069604785,Oceania
Sao Tome and Principe,66.762,3.01106566,Africa
Saudi Arabia,74.72,48.80396059,Asia
Senegal,67.477,3.232310165,Africa
Serbia,76.08780488,15.28909738,Europe
Seychelles,74.3,26.4158067,Africa
Sierra Leone,52.214,1.403791088,Africa
Singapore,82.89512195,87.76036815,Asia
Slovak Republic,77.16585366,30.13292048,Europe
Slovenia,81.17560976,31.35130424,Europe
Solomon Islands,71.006,2.126352921,Oceania
South Africa,63.404,12.23336897,Africa
Spain,83.32926829,34.26911624,Europe
Sri Lanka,75.485,11.70584378,Asia
St. Lucia,75.696,12.33366302,North America
St. Vincent and the Grenadines,73.294,10.70426902,North America
Sudan,64.698,4.435857095,Africa
Suriname,71.523,13.63627551,South America
Sweden,82.30731707,46.68117148,Europe
Switzerland,83.60243902,57.99764349,Europe
Tajikistan,71.214,2.923673718,Asia
Tanzania,66.31,2.809069009,Africa
Thailand,75.498,16.28563737,Asia
Timor-Leste,69.199,6.740890192,Asia
Togo,60.477,1.529515368,Africa
Tonga,73.179,5.745951292,Oceania
Trinidad and Tobago,70.783,28.56684108,North America
Tunisia,75.943,10.95002738,Africa
Turkey,76.009,25.02401614,Asia
Turkmenistan,67.956,16.39017898,Asia
Uganda,60.182,1.768211137,Africa
Ukraine,71.78097561,7.906540301,Europe
United Arab Emirates,77.412,66.67597347,Asia
United Kingdom,81.15609756,39.86234552,Europe
United States,78.53902439,54.47079667,North America
Uruguay,77.645,20.65847444,South America
Uzbekistan,71.42,6.039503813,Asia
Vanuatu,72.334,2.827080453,Oceania
Vietnam,76.454,6.233485045,Asia
West Bank and Gaza,73.646,4.651723645,Asia
"Yemen, Rep.",65.157,2.40442237,Asia
Zambia,62.255,3.717667166,Africa
Zimbabwe,61.712,2.568410072,Africa
